iter	RMSE
0	8.480841046
1	8.099592656
2	7.663637228
3	7.29359421
4	7.024860851
5	6.724519309
6	6.467078843
7	6.199846156
8	5.942734505
9	5.746915605
10	5.560505328
11	5.377595972
12	5.200331509
13	5.03618502
14	4.867982926
15	4.723558324
16	4.590764412
17	4.479927882
18	4.356244665
19	4.269588695
20	4.16783148
21	4.09497646
22	4.016554741
23	3.928888032
24	3.850137921
25	3.760602919
26	3.694425212
27	3.616476865
28	3.54735616
29	3.49375478
30	3.441658724
31	3.379863936
32	3.328767737
33	3.273329498
34	3.225640107
35	3.188003595
36	3.13954602
37	3.091970387
38	3.052226128
39	3.008305115
40	2.967389372
41	2.937559481
42	2.905479247
43	2.871327794
44	2.843967395
45	2.817584894
46	2.789283816
47	2.756846808
48	2.727808923
49	2.700255342
50	2.673511516
51	2.652563465
52	2.632723087
53	2.60768793
54	2.590082943
55	2.567248438
56	2.551586083
57	2.535506769
58	2.515279699
59	2.497454647
60	2.480510274
61	2.46383852
62	2.448166308
63	2.431529668
64	2.415121417
65	2.399070566
66	2.382938004
67	2.369799683
68	2.357748344
69	2.345590379
70	2.335907372
71	2.324825472
72	2.308306126
73	2.296663772
74	2.285356077
75	2.272741883
76	2.262177594
77	2.253490086
78	2.244142872
79	2.230251344
80	2.219042484
81	2.212139042
82	2.202224212
83	2.195443515
84	2.188502481
85	2.172345827
86	2.164032253
87	2.153986131
88	2.14262648
89	2.134254649
90	2.126108988
91	2.115142064
92	2.10856123
93	2.103312718
94	2.097864134
95	2.091487465
96	2.085669204
97	2.078661868
98	2.074515452
99	2.066461159
