iter	Passed	Remaining
0	1	129
1	2	108
2	3	100
3	3	90
4	4	92
5	6	102
6	7	99
7	8	97
8	9	95
9	10	93
10	11	92
11	12	94
12	13	93
13	14	91
14	15	90
15	17	89
16	18	90
17	19	89
18	20	87
19	21	85
20	22	84
21	23	83
22	24	83
23	25	82
24	26	80
25	27	79
26	28	78
27	29	76
28	31	76
29	32	75
30	33	74
31	34	73
32	35	72
33	37	72
34	38	71
35	39	70
36	40	69
37	41	67
38	42	66
39	44	66
40	45	65
41	45	63
42	46	61
43	47	60
44	48	59
45	50	59
46	52	58
47	53	57
48	54	56
49	55	55
50	56	54
51	57	53
52	58	51
53	59	50
54	60	49
55	61	48
56	62	47
57	63	46
58	65	45
59	65	43
60	66	42
61	67	41
62	68	40
63	69	39
64	71	38
65	72	37
66	73	36
67	74	34
68	76	34
69	77	33
70	78	31
71	79	30
72	80	29
73	81	28
74	82	27
75	83	26
76	84	25
77	85	24
78	86	22
79	87	21
80	88	20
81	89	19
82	90	18
83	91	17
84	92	16
85	93	15
86	94	14
87	95	13
88	96	11
89	97	10
90	98	9
91	99	8
92	101	7
93	101	6
94	102	5
95	103	4
96	104	3
97	105	2
98	107	1
99	108	0
